5	outsourcing quality/communication issues	Project Mismanagement	Brown et al.	Management	Key activities are overlooked or minimized	Prototyping, create and document a risk management analysis, define architectural dependencies	9	Cultist Simulator	"Our mistake was our freelance pipeline, not our beloved freelancers themselves"	No solution / hiring dedicated freelancers: "Next time, I think we’d be better off either committing sooner to ongoing, uninterrupted production, or waiting to work with freelancers until we had a constant development road ahead of us."
6	team understaffed/scaled down	Project Mismanagement	Brown et al.	Management	Key activities are overlooked or minimized	Prototyping, create and document a risk management analysis, define architectural dependencies	26	Bioshock	 "Our goals and vision pretty consistently overreached our production capacity"	Creating a regular review cycle: "It wasn't until we created a more regular review cycle, where all the key players sat in one room and watched the gameplay session and someone logged all the bugs, that we were really able to define the amount of remaining work to bring a feature or level to completion."
7	testing issues	Project Mismanagement	Brown et al.	Management	Under the test umbrella, several phases are needed, but often minimized: unit, integration, and system testing.	Prototyping, create and document a risk management analysis, define architectural dependencies	11	Black & White	"Black & White got to be so large that we almost felt lost within the code. (...) Checking in changes and rectifying errors was a nightmare"	Improving their review process: "We eventually decided to limit the checking-in to one machine, and we implemented a buddy system whereby nothing was done without an onlooker checking it at every stage."
8	game creators did not have enough money	Shoeless Children	Laplante and Neill	Environmental	When a company deprives itself of sufficient resources (...) because of financial difficulties or managerial incompetence.	(...) the solution is strategic budget cutting that excludes essential infrastructure	23	PONCHO	"I was thousands in the hole, and I had spent all my money on it without having a job"	No solution / Getting loans and scoping down: "I took out more loans just to survive and finish the steam version of the game, as we were not able to attempt to try and secure funding elsewhere."
9	features were cut due to budget/time constraints						27	Trade Empires	"Many of the reviewers liked the game (many three and half star or 8/10 reviews), but raves like the Imperialism games garnered were less evident. True, the budget and schedule were a lot smaller and more confining for Trade Empires, so we didnt get to lavish the same amount of detail and loving care on it."	"Even with those constraints, I think we could have made a better game if we had made some different trade-offs. (...) these more time-consuming features didnt make it, as we focused our energies on robustness of the code and polishing the feature set we had."
10	devs worked on multiple projects simultaneously with negative results						13	Rollers of the Realm	"Having the production timeline stretch out meant Rollers rubbed against the work-for-hire projects that we lined up because we need to keep the studio lights on. (...)"	"We needed to split our resources into two project teams. Phantom Compass often works on multiple projects at once, and in many ways this is a strength, but in this case it caused more strain on finishing up Rollers than we would have liked and hurt our ability to polish."
11	absent/inadequate tools						12	Swords & Soldiers	"The levels took a lot of time to build with the limited tools we had. With only one programmer, you cant ask for a good level design tool For design, then, we had to use the stock Windows text editor, Notepad."	"Our AI routines were built in a simple logic tree editor, which was built by a programming intern. And though the editor was a bit buggy, it was still a major improvement over editing those XML files in Notepad. (...) In hindsight, we probably should have put some time in coding creating a visual level editor."
12	excessive/unnecessary bureaucracy						9	Resident Evil 2	"We were all ready to kick back and congratulate each other on a job well done, but our title still needed approval from Nintendo, both in Japan and in the U.S. The ensuing delays caused us to miss our ideal release date, which in the U.S. was Halloween."	"The thing to keep in mind is that at some point there are decision makers involved with approving your game. (...) So what to do now that your game is being sent into the hands of who knows how many random individuals? Simple: realize that there is a process."
13	lack of external communication						9	Lords of the Fallen	"While we were not so bad talking internally (well, there still were issues but we had them under control), we were really miserable communicators when it came to publisher discussions. As there wasnt one person channeling all requests and feedback, there were times when it actually felt as if everyone was talking to everyone, without clear rules or structures, resulting in a lot of negative vibrations, confusion, and anger."	"Basically we had not thought about establishing guidelines for communication, and things only got better when we did so."
14	not enough attention given to localization						8	Wireless Pets	"The amount of text I had to write for this game almost killed me.(...) One solution to this would be dynamic text generation. However, when the game is translated into many languages, this is very problematic. English is fine, but other languages have new and unusual forms of sentence construction to torment you with, not to mention gender specific nouns, verbs and adjectives (not necessarily the same gender in every language)."	Getting a person of the team dedicated to localization: "The programmers had lots to do; as well as producing the game, I was doing the art and text, and theres virtually no art. To get it out the door ASAP, I took it upon myself to complete what I did not realise would be such a monumental task."
15	low morale						7	KleptoCats	"At the start of the development we weren’t in the best position. We were sad. The office had lost half of its people because the game we made before wasn’t the success we needed financially speaking, and we were a couple months away of losing the other half."	"That’s why we decided after months of working, it was a good idea for the original team to move onto other things while the new members could take it and give it a fresh and different vision."
16	lack of internal communication						6	Tomb Raider: Underworld	"One of the earliest engineering tasks involved refactoring the player code to make it more robust and more able to accept new functionality. This effort was important to be able to efficiently expand our feature set, but it wasnt understood at the time that this refactoring meant taking apart the engine and putting it back together in such a way that it became unplayable for the duration. The design team had been anticipating a comfortable period of working on layouts, experimenting with interactions (...). But our preproduction hopes disappeared as much of the player functionality went offline. (...) Fundamentally this was an issue of miscommunication, which is a traditional gremlin lurking on every project."	"We fought this gremlin from the start, and given the size of our production did a fair job of it, but this particular mishap was unique in how irreversible it was. Improving communication is about better information trafficking up front, but just as importantly, quickly addressing miscommunication when it arises, so we dont consider this one of those traditional mistakes that we repeated."
17	launch/distribution issues						7	Galactic Civilizations	"If you asked anyone who bought Galactic Civilizations during the first week to name the top thing didnt like about it, it probably would have been updating the game via Stardock Central. (...) Unfortunately, when the game shipped on March 26, Stardock Central wasnt quite ready."	"Stardock Central, in short, was too complicated and too error prone upon release and caused us quite a bit of grief. We were able to respond to that by allowing people to download the game as a single big file, and to download the BonusPak as a traditional patch. But the online distribution system was more complex than we would have wanted it."
18	changing/adding target platforms						5	Republique	"There’s trophies, rumble support, optimizing the game for PS4, making sure your game’s “save area” conforms to televisions properly, to say nothing of the hundreds of TRC compliancy issues that caught us by surprise. We were forced to overcome lot of unique challenges that resulted from Republique having not been originally designed for the console."	"With limited tools, there was really no magic solution, just countless one-off fixes to gradually make the game feel like a native console experience. We relied heavily on Sony’s documentation and dev forums to power through development, and then received a lot of great PS4-specific feedback from GungHo’s QA team to help us pass Sony certification."
19	hardware issues						4	Galactic Civilizations 2: Dread Lords	"Features were altered and cut. And code thoroughly debugged. But we werent ready. We thought we were. But we werent. The game wasnt buggy. But we had no idea of how finicky different computers are with 3D games. We had no idea."	"What we learned from these two experiences were: First, keep adding new users to your testing process. As people become experts at the game, they start to play the game differently from others. Yea, there's probably some QA guy reading this saying "Well duh" but it was not something we had done. Secondly, users won't heed warnings or readmes. Next time, the game will have a dialog that will simply not allow them to play the game until they update their drivers."
20	legacy codebase issues						4	Baldurs Gate Enhanced Edition	"As we began to work with the code base, we found severe performance and stability issues with the engine. We traced some issues back to the core threading model of the Infinity engine. (...) The main issue was that all of the threads shared the same set of data. The problem is all these threads were created and they all hit the same memory and as such, blocked each other, stalling all threads until the current one completed. The code was also heavily laced with critical sections (...)"	"Our longterm solution was to machete in and remove the threading, removing a couple hundred thousand lines of code from the game. The end result was more stable and had fewer performance irregularities. The ninja-in approach was tried in other areas, as well, and every time the end result was consistent. We always found a ton of complexity solving an era-specific problem that no longer applied. We continue to find roadblocks in the code and were improving it as we go."
21	team scaling issues						3	Call of Duty 2	"As people know, building up a company very quickly is a very dangerous thing to do. You can be successful at a certain level, but then it quickly becomes hell in a handbasket."	"To lessen the blow of change, Infinity Ward focused on increasing communication as employment increased. Mandatory Monday meetings quickly became the forum for everyone to check in and learn what others were working on. The meetings, he said, would give people “a pipeline into management.” Layers of management were created. Roles for both associated producers and full producers were granted. Key employees from previous projects were promoted to leads (...)"
22	inexperienced professionals						3	Big Mutha Truckers	"Unfortunately, at the start of the project the experienced programmers were working on the technology that would be required to power Big Mutha Truckers (...) and the less-experienced programmers were assigned the task of implementing this technology and adding content - in other words, coding the game content itself."	"Following this experience, Eutechnyx re-structured its teams and now has a technology department in addition to game teams. Many of the members of the technology department are now dedicated to a particular project, and our game programmers also perform technology tasks that benefit all projects. This crossover is working extremely well."
23	piracy						3	Doom	"Alpha and beta leaks have plagued Id from the beginning, and Doom was no exception. In the early development stages of Wolfenstein, there was an idea to have a contest where whoever found a secret room hidden somewhere on one of the levels would win $10,000. But the first person to call up was a pirate who called during the beta testing cycle, and the whole prize idea had to be scrapped."	"To try and keep this kind of thing from happening, Id has now set its beta policy so that games are password protected and tightly controls how many beta copies are distributed."
24	publishers/management insisted on an unrealistic schedule						3	Fallout Tactics	"Originally, we had 12 months from starting the design to delivering the gold master. If you take off a month for initial design and a month for QA, that only leaves 10 months for the development of the game. We made our first deadline, E3, but after that we were constantly slipping. (...)" 	"When I first joined the project I produced a Microsoft Project document for the game. The Gantt chart still hangs on the wall downstairs as a testament to the hopelessness of our original goals. Two weeks for pathfinding and six weeks for AI seem hopelessly unrealistic now, but at the time we had no choice if we were to meet our original deadline."
25	bug tracking issues						3	Crazy Taxi Fare Wars	"(...) we were not prepared for the problems that came with bug assignment. In case of Crazy Taxi, many bugs were not distinctly multiplayer or single player. That being the case, how did we decide who was responsible for fixing a bug? Would that fix impact the multiplayer/single player game? Many bugfixes worked for fixing immediate issues but would impact work being done by the other team -- when changes made were not clearly documented. "	"Although the bug information was coming in steadily, it became a full time task to manage that data and disseminate it to appropriate team members either in Budapest or Redwood City [offices]. It became another layer to bug management that demanded a lot of communication."
26	legal battles						3	Brutal Legend	"In June 2009, Activision Entertainment Holdings, Inc. filed suit against Double Fine, claiming breach of contract and seeking a preliminary injunction to stop the release of the game by Electronic Arts on Rocktober 13."	"Most of the team was shielded from the drama that unfolded between December 2008 when Electronic Arts announced that they had picked up the game for publication and July 2009 when the lawsuit settled. (...) The lawsuit took its toll on the team, on the company, on our product and on our optimism."
27	personal/health issues impacted the production						3	The Italian Job	"Robin, one of our programmers (...) left the office, got into his car and started on his way home, meanwhile some delinquent joyriders were screeching around a corner so fast, they had veered onto the opposite side of the road resulting in a head-on collision with Rob. (...) Rob was in hospital, strapped down so he couldnt move."	"The game still had to be finished so after a few phone conversations we sent the PC to his house in case he got bored and he painfully continued to finish coding his part of the game from his bed. (...) Rob has now fully recovered; he only twitches now and again."
28	procrastination						3	AuroraBound	"When work started on AuroraBound, I was determined to finish and ship the game and not just add it to my huge list of unfinished prototypes and side projects. (...) At first, the system seemed to work very well, but about halfway through, I started noticing issues - my attention and motivation were lagging and the temptation to ‘just take today off’ was getting stronger. (...) The simple fact was, I was burning out."	"I misjudged the toll the lack of time off would take on me, and it’s not a mistake I’ll be making again. I’m starting to make some progress on my next game, but this time around I am making sure to keep some days free for the finer things in life (i.e. playing computer games instead of just making them)"
29	publishers/management insisted on changes to the project						2	Scarface: The World is Yours	"Though unavoidable and clearly for the greater good of the game, the change of direction for the project midway through development brought about by a six month extension to our Alpha date, and presented challenges for the dialogue system and for the flexibility of the content we had already recorded."	"With all the ripples that the extension gave us, these changes led eventually to a much more streamlined and solid product. The extension in the amount of time we had also allowed us to plan and execute the post-production mixing, and thus gave us a huge gain in terms of final audio quality."
30	3D modeling tools were not standardized						2	Descent 3	"Another major problem on Descent 3 was the tools the level designers used to make their levels. Some people used 3D Studio Max, some used Lightwave, and one designer even wrote his own custom modeler from scratch. (...) However, the different tools led to inconsistent quality across our game levels."	"What we should have done is standardized using one tool (probably 3D Studio Max) and made the designers learn how to use it whether or not they were comfortable with it."
31	novel idea						2	Indigo Prophecy	"When working on a FPS, the team has a very clear idea of what it is doing from the very first day of development. It has outside references that enable it to judge the quality of the game. With an original project, this does not apply. The team had to have enormous faith in order to be able to produce Indigo Prophecy."	"Anyone who has already directed a project knows how essential it is to have the complete confidence of the development team. (...) For Indigo Prophecy, I made a point of never showing my doubts (which were nevertheless numerous and sometimes difficult to overcome all through the development) and made special efforts to share my vision of the project with the team."
32	difficulties finding qualified professionals						2	SWAT3	"We had a difficult time finding the right people for both programming and art positions. Several people were transferred to our project after theirs had been cancelled or had shipped way past its deadline. Needless to say, this is a bad way to fill out a team." 	"We interviewed a lot of people, but our only external hire was the AI programmer, who turned out to be exceptional. The programmer responsible for the character animation export tools had just come from two cancelled projects and only lasted a few months. Another programmer was difficult to work with, refused to work overtime, and quit a couple of months before our ship date."
33	company/team rellocation						2	Unreal Tournament	"During Unreal, Epic team members flew to Canada to work at Digital Extremes offices. With Unreal Tournament, it became Digital Extremess turn to do the traveling. Unfortunately, flying and driving back and forth every couple of weeks is a very draining experience. To compound this problem further, Digital Extremes and Epic were attempting an expensive merger. As Unreal Tournament came to a close, it became clear that the merger would not happen. It was prohibitively expensive for a small company to move across the border."	"The ups and downs of the merger process had a negative effect on team morale. Had the co-development happened between companies more closely situated, it would not have been a problem."
34	metrics collection issues						1	Swing Racers	"Many times since release I have wished that I knew things about people playing my game - how many players chose the “left-handed” option? how many strived to unlock everything? which levels did they go back to the most? Knowing these things would help make better decisions on features for the next project."	"One of the common analytics solutions would have been good, and the reason I didn’t end up having any was ultimately due to the engine choice (Flurry was integrated into UDK but was broken early on and never fixed). Having leaderboards in the game did give me *some* information, which gives me an indication of e.g. what percentage of players finished the last track"
36	demo took too many resources						1	Heavy Gear 2	"When the smoke cleared and the demo was finally posted, the team gave a sigh of relief and basked in the warmth of a job well done. Unfortunately, this feeling quickly evaporated when we realized that we had taken almost a three-month departure from our original development schedule and totally exhausted ourselves in the process."	"I still believe a demo is important to the success of a game, but such a task should be closely correlated to the production of the main SKU. Attempting to factor the demo development time and resources into a schedule significantly different from the game itself can profoundly affect both the product’s quality and timeliness."
37	cheating/hacking issues						1	Dark Sun Online	"Probably the biggest issues we had during the development of DARK SUN ONLINE were the hacking problems. These problems came as a result of taking a stand-alone game and turning it into a multiplayer game with a peer-to-peer networking system."	"Due to low morale and compensation, the external group insisted on coding the networking architecture as a peer-to-peer network, using the local clients to run most of the game logic. (...) Unfortunately, though, this type of networking code wasn't the best for the game at large, and we had to deal with the hacking issues that it raised for the life of the project."
38	asset management issues						1	Ratchet & Clank	"You’re probably aghast, but that’s not the worst of it. We also used Hot Wheels as an asset control system. Seriously—if you wanted to check out a level, you’d grab the corresponding Hot Wheel to signal that it was yours for editing. Level 6 was the 1968 Beatnik Bandit."	"Anyway, our PS3 era assets are more accessible—we used Perforce at that point, finally—but still plagued by questionable naming practices and haphazard structure. We’re now a lot better at naming assets, maintaining clean directories, and keeping our data accessible, by the way. We learned the hard way."
39	knowledge transfer issues						1	System Shock 2	"One difficulty that we encountered was educating our designers in what was expected from them in terms of game-play implementation. (...) Partially this was because we were simply exploring a style of game play that we did not entirely understand ourselves. But it reflected a failure on our part to properly educate the designers."	"Building prototypical spaces, looking at past games and conducting more intensive discussions about game play will all be part of our future projects. (...)"
	Absentee Manager	Absentee Manager	Laplante and Neill	Management	"Any manager who engages in avoidance behavior or is invisible for long periods of time — either hiding on premises or away from the office."	"Often, Absentee Managers designate a right-hand-man to be their eyes and ears. Find that person and try to work through him. Insist on in-person meetings. Do not make decisions for Absent Managers — that lets them off the hook."	5			
	Appointed Team	Appointed Team	Cunningham	Management	"Faulty belief: A group of people selected by management will immediately gel and become a team. Problem: There are no perfect criteria for screening team members."	"Build self-selecting teams, doing limited screening on the basis of track record and broad interests."	5			
	Band Aid	Band Aid	Cunningham	Management	"There is a deep-rooted problem in a company/project that will cause the company/project to fail unless addressed. Supposed Solution: More often than not, a workaround that gives the company/project a new gloss when really nothing has changed."	none	1			
	Blame Storming	Blame Storming	Cunningham	Management	"A discussion - usually amongst adjacent peer-group levels, in which members attempt to assign blame for a particular botch."	none	2			
	Carbon Copy His Manager	Carbon Copy His Manager	Cunningham	Management	"Bob ignores your legitimate requests. For example, you email a request to add a user to the system, but Joe typically seems to ignore such requests. Or he at least delays them 'an unreasonably long time.'"	"Have a talk with Bob, and possibly several levels of management above you and Bob, to find and set appropriate corporate priorities."	9			
	Cargo Cult	Cargo Cult	Cunningham	Management	"A project is about to melt down. Much criticism is directed at the project, its staff, and its leadership. People on the project are getting beaten up by rumor, management interference, and continual demands for replans, and their morale is suffering."	"Redraw the organization charts, showing the troubled project and leadership placed into a new, larger context, possibly demoting it in stature."	2			
	Confusion of Objectives	Confusion of Objectives	Cunningham	Management	"The personal objectives of the manager leading a team are not in line with the team objectives and they are considered more important than the success of the team tasks (typically a project)."	none	7			
	Cryptocracy	Cryptocracy	Cunningham	Management	"A Cryptocracy is any organization which has a hierarchy which is generally acknowledged, but no one really knows what it is or how it works."	none	2			
	Death March	Death March	E. Yourdon	Management	"Quite simply, a death march project is one whose "project parameters" exceed the norm by at least 50 percent. In most projects, this means one or more of the following constraints have been imposed upon the project"	"Remember my earlier advice not to adopt this kind of information as a 'stone tablet' containing 'commandments' that must be followed. But it could be a useful starting point for your own collection of best-practices ideas: Formal risk management (...); Agreement on interfaces (...); Peer reviews (...), Metric-based scheduling and management (...)"	30	Bit.Trip Beat	"The newness of everything compounded upon itself and overburdened each of us. Just to stay on top of everything, we found that we had to work more hours. And then more hours. And then more."	"Finding the time to juggle all these responsibilities led to crunch. Is the project better because we crunched? In this case, I think it is. But our quality of life certainly was not. And a poor quality of life can lead to resentment of ones job among other negative side effects."
	Detailitis Plan	Detailitis Plan	Cunningham	Management	"A company gathers the project management activity centrally in a organizational cell that is disconnected from the battle field of real projects, coding and QA issues. (...) Each attempt ends up in a more complex plan that is a good way to show very complex dependencies to the end users but that remains again and again not applicable by the IT teams (...). The result is after a while a strange feeling of having a daily useless and meaningless global plan while the working teams are progressing based on simpler assumptions, based on gentlemen agreements."	none	1			
	Emperor's New Clothes	Emperor's New Clothes	Cunningham	Management	"In design or code reviews, no one really understands the design but reviewers are unwilling to admit it. Any criticism is quashed by other reviewers who claim understanding and consequently gain a feeling of superiority"	"Identify different people who: have good analysis and design skills, can define good abstractions, have good implementation skills or are subject matter or user experts. Hold regular brainstorming sessions with these people to refine requirements and/or develop the design."	1			
	False Surrogate Endpoint	False Surrogate Endpoint	Cunningham	Management	A common Human Trait that causes an extraordinary amount of work to be expended on things that ultimately have little value. 	none	10	Drakan: Order of the Flame	"They also ended up cutting many features that did not show much game-play promise. The dart gun and the boomerang weapons were among those eliminated from the game. Even though these tasks had already been mostly completed (in terms of code) for several months, they had not yet been put into the game."	"The decision allowed us to focus on improving the weapons that worked well, such as the bows and arrows. We now know that it’s critical that programming tasks get put into the game and tested almost immediately so that their effectiveness can be realized early on."
40	Feature Creep	Feature Creep	Harvey	Management	"Feature creep is the excessive ongoing expansion or addition of new features in a product, especially in computer software, video games and consumer and business electronics."	"There are several methods to control feature creep, including: strict limits for allowable features, multiple variations, and pruning excess features."	33	Baldurs Gate II	"While we shipped with nearly all the features we originally planned, we did start cutting quests and characters well before the final testing phase. We still ended up with over 200 hundred hours of gameplay."	"In retrospect we should have started this process many months earlier. One of the dangers of development is that game developers have a tendency to always add content if they are given time. (...) Its wise to use that prioritized feature list to hone the work (of course ours was informal, which made it a little difficult)"
	Fire Drill	Fire Drill	Brown et al.	Management	"A project is initiated, but the staff delays design and development activities for several months while various technopolitical issues are resolved at a management level."	"In the sheltering solution, management creates and maintains two alternative project environments: internal and external. The majority of the software development staff operate in the internal environment, where the focus is long term and encourages continual progress toward software delivery. The external environment is also called the project’s “public image.” Its purpose is to maintain relationships with outside entities: upper management, customers, and peer projects (with which resource competition and reuse opportunities exist). "	3			
	Fungible Teams	Fungible Teams	Cunningham	Management	"Teams perceived to consist of functionaries who can be swapped out and plugged into another team without damage to scope or team dynamic. Also applies to swapping whole teams."	none	1			
	Glass Case Plan	Glass Case Plan	Silva et al.	Management	"Lack of tracking and updating of initial plans, assuming the plan is enough"	none	7			
	Net Negative Producing Programmer	Net Negative Producing Programmer	Cunningham	Management	"There are net negative producing programmers (NNPPs) on almost all projects, who insert enough spoilage to exceed the value of their production."	"Taking a poor performer off the team can often be more productive than adding a good one."	3			
	Road to Nowhere	Road to Nowhere	Laplante and Neill	Management	"The lack of a plan causes confusion and a crisis of leadership."	"There are a number of techniques that can assist with project planning. Gantt Charts, Program Evaluation and Review Technique (PERT), and the Critical Path Method (CPM) all provide familiar visual artifacts that can help capture and communicate a plan."	8			
	Specify Nothing	Specify Nothing	Cunningham	Management	"In some organizations, written specifications are seen as overly constricting and downright evil. To rectify this imagined problem, project leadership may promote, directly or indirectly, use of this AntiPattern."	"The solution is to go back to the standards and push for the company to realize that IT can be a real job with architecture and functional competences required."	8			
	Thrown Over the Wall	Thrown Over the Wall	Cunningham	Management	"You assign each role to a separate individual (or group, or geographical location). The artifacts of each role are Thrown Over The Wall to the next role. (...) People can become disconnected from the "whole" because they lose awareness or interest of the effects of their efforts further downstream."	"Split up the work by all means, but keep the people and the team as close and collaborative as you can manage."	1			
	Warm Bodies	Warm Bodies	Cunningham	Management	"In the software development world, Warm Bodies refer to those individuals who tend to be thrown at late projects under the Taylorist assumption that increasing the resources will increase productivity"	"The obvious refactoring is to terminate the Warm Bodies, although encouraging them to resign on the basis that they need to 'find something they enjoy' is a more tactful approach. (...) Consequently, the best management approach is to identify the Warm Bodies and work with them to find their roles in the organization."	3			
							440			
